,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
0,Urban,Small,West,Zone 6,3,1,2,4651,Rented,24,0,1,1,91,29.0,13,0,A,5,15,17115
1,Rural,Large,North,Zone 5,0,0,4,6217,Company Owned,47,0,0,1,210,31.0,4,0,A,3,17,5074
2,Rural,Mid,South,Zone 2,1,0,4,4306,Company Owned,64,0,0,0,161,37.0,17,0,A,6,22,23137
3,Rural,Mid,North,Zone 3,7,4,2,6000,Rented,50,0,0,0,103,21.0,17,1,A+,3,27,22115
4,Rural,Large,North,Zone 5,3,1,2,4740,Company Owned,42,1,0,1,112,25.0,18,0,C,6,24,24071
5,Rural,Small,West,Zone 1,8,0,2,5053,Rented,37,0,0,1,152,35.0,23,1,A+,3,3,32134
6,Rural,Large,West,Zone 6,8,0,4,4449,Company Owned,38,0,0,1,77,27.0,24,0,B,3,6,30142
7,Rural,Large,North,Zone 5,1,0,4,7183,Rented,45,0,0,0,241,23.0,18,0,C,6,24,24093
8,Rural,Small,South,Zone 6,8,1,4,5381,Rented,42,0,0,1,124,22.0,13,1,A+,5,2,18082
9,Rural,Small,South,Zone 6,4,3,3,3869,Company Owned,35,0,0,0,78,43.0,6,0,C,6,2,7130
10,Rural,Large,North,Zone 6,7,1,3,4623,Company Owned,31,0,0,1,150,37.0,17,0,B+,4,6,21125
11,Rural,Large,North,Zone 6,7,0,5,4627,Rented,40,0,0,0,225,16.0,11,0,B,2,28,14115
12,Urban,Mid,North,Zone 2,4,0,3,5012,Rented,48,0,0,0,95,28.0,4,0,B+,1,1,5124
13,Rural,Mid,South,Zone 4,6,1,2,6858,Company Owned,26,0,0,1,242,36.0,22,1,A,5,11,30063
14,Rural,Small,West,Zone 6,8,1,4,5022,Rented,68,0,0,1,129,37.0,6,0,B,3,9,7055
15,Rural,Mid,North,Zone 2,1,1,3,5062,Company Owned,50,0,0,1,190,19.0,4,0,B+,3,12,5094
16,Rural,Mid,West,Zone 4,0,0,2,5569,Company Owned,16,1,0,1,231,28.0,9,0,B+,5,11,12127
17,Rural,Mid,West,Zone 2,0,1,2,5539,Company Owned,28,0,0,1,261,22.0,13,0,A,4,12,17134
18,Rural,Mid,North,Zone 3,4,1,4,4598,Rented,58,0,0,1,159,22.0,29,1,A+,5,27,38082
19,Rural,Small,South,Zone 1,1,1,2,5679,Rented,19,0,0,1,189,24.0,22,0,B,2,21,27100
20,Rural,Mid,South,Zone 2,8,0,2,5678,Company Owned,31,0,0,1,65,41.0,19,0,B+,4,1,24062
21,Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31.0,14,1,B+,6,19,17117
22,Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24.0,28,1,C,6,8,40150
23,Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37.0,25,0,C,5,19,32098
24,Urban,Large,West,Zone 5,1,0,4,5670,Rented,25,0,0,1,140,31.0,12,0,C,2,14,15125
25,Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31.0,22,0,B,3,27,26066
26,Rural,Small,West,Zone 6,5,3,4,4063,Company Owned,40,0,0,1,229,21.0,8,0,C,6,9,10077
27,Rural,Small,South,Zone 6,8,3,2,5790,Rented,31,0,0,0,98,36.0,11,0,C,4,9,14150
28,Rural,Small,North,Zone 6,3,1,1,7692,Company Owned,62,1,0,0,154,20.0,0,0,C,0,8,3123
29,Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24.0,6,1,A,1,6,8056
30,Rural,Mid,West,Zone 4,5,0,4,4552,Rented,67,0,0,0,230,17.0,12,0,B+,5,11,15082
31,Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19.0,18,1,B+,6,23,21064
